,participant,trial,offer,choice_key,choice_rt,rating_rt,rating_start,rating,choice_rej,choice_acc,offer_bin,rating_z,rating_delta,rating_fill,log_rt
0,5c62c8c594e3bc0001d66cf8,0.0,5.0,left,0.852,,21.0,,0.0,1.0,Medium,,,,-0.16016875215282134
1,5c62c8c594e3bc0001d66cf8,1.0,4.0,left,1.234,4.45,43.0,3.0,0.0,1.0,Medium,-0.39843859708851914,-40.0,-40.0,0.21026092548319605
2,5c62c8c594e3bc0001d66cf8,2.0,3.0,left,0.863,,50.0,,0.0,1.0,Low,,,-40.0,-0.14734058789870913
3,5c62c8c594e3bc0001d66cf8,3.0,7.0,left,0.551,,50.0,,0.0,1.0,High,,,-40.0,-0.5960204698292225
4,5c62c8c594e3bc0001d66cf8,4.0,7.0,left,0.52,,50.0,,0.0,1.0,High,,,-40.0,-0.6539264674066639
5,5c62c8c594e3bc0001d66cf8,5.0,5.0,left,0.694,2.884,50.0,10.0,0.0,1.0,Medium,0.9296900598732116,-40.0,-40.0,-0.36528331847533263
6,5c62c8c594e3bc0001d66cf8,6.0,5.0,left,5.385,,36.0,,0.0,1.0,Medium,,,-40.0,1.6836173106083518
7,5c62c8c594e3bc0001d66cf8,7.0,8.0,left,0.596,,50.0,,0.0,1.0,High,,,-40.0,-0.5175146119167874
8,5c62c8c594e3bc0001d66cf8,8.0,4.0,left,0.99,4.232,50.0,0.0,0.0,1.0,Medium,-0.967636592929261,,-40.0,-0.01005033585350145
9,5c62c8c594e3bc0001d66cf8,9.0,5.0,left,0.853,,40.0,,0.0,1.0,Medium,,,-40.0,-0.15899573149045795
10,5c62c8c594e3bc0001d66cf8,10.0,2.0,left,1.461,1.716,17.0,0.0,0.0,1.0,Low,-0.967636592929261,,-40.0,0.37912113276856246
11,5c62c8c594e3bc0001d66cf8,11.0,4.0,left,0.871,,50.0,,0.0,1.0,Medium,,,-40.0,-0.13811330212963427
12,5c62c8c594e3bc0001d66cf8,12.0,1.0,left,0.866,,50.0,,0.0,1.0,Low,,,-40.0,-0.1438703704197019
13,5c62c8c594e3bc0001d66cf8,13.0,8.0,left,0.604,,50.0,,0.0,1.0,High,,,-40.0,-0.5041810810473222
14,5c62c8c594e3bc0001d66cf8,14.0,9.0,left,0.636,3.176,50.0,0.0,0.0,1.0,High,-0.967636592929261,,-40.0,-0.4525567156420149
15,5c62c8c594e3bc0001d66cf8,15.0,6.0,left,0.71,,37.0,,0.0,1.0,Medium,,,-40.0,-0.342490308946776
16,5c62c8c594e3bc0001d66cf8,16.0,2.0,left,36.198,,28.0,,0.0,1.0,Low,,,-40.0,3.58900386868668
17,5c62c8c594e3bc0001d66cf8,17.0,1.0,right,1.699,2.986,50.0,0.0,1.0,0.0,Low,-0.967636592929261,,-40.0,0.530039842689795
18,5c62c8c594e3bc0001d66cf8,18.0,2.0,right,1.675,,15.0,,1.0,0.0,Low,,,-40.0,0.5158131652770298
19,5c62c8c594e3bc0001d66cf8,19.0,3.0,right,1.353,,40.0,,1.0,0.0,Low,,,-40.0,0.302324349188651
20,5c62c8c594e3bc0001d66cf8,20.0,5.0,left,0.774,2.459,50.0,5.0,0.0,1.0,Medium,-0.018973266528024658,-45.0,-45.0,-0.2561834053924099
21,5c62c8c594e3bc0001d66cf8,21.0,7.0,left,1.467,,50.0,,0.0,1.0,High,,,-45.0,0.38321949916084475
22,5c62c8c594e3bc0001d66cf8,22.0,9.0,left,16.958,,45.0,,0.0,1.0,High,,,-45.0,2.830739698881811
23,5c62c8c594e3bc0001d66cf8,23.0,8.0,left,2.122,,13.0,,0.0,1.0,High,,,-45.0,0.7523590401917913
24,5c62c8c594e3bc0001d66cf8,24.0,6.0,left,1.429,5.083,50.0,10.0,0.0,1.0,Medium,0.9296900598732116,-40.0,-40.0,0.3569748989477304
25,5c62c8c594e3bc0001d66cf8,25.0,4.0,right,5.549,,42.0,,1.0,0.0,Medium,,,-40.0,1.7136177313437642
26,5c62c8c594e3bc0001d66cf8,26.0,5.0,left,1.017,,50.0,,0.0,1.0,Medium,,,-40.0,0.016857117066422806
27,5c62c8c594e3bc0001d66cf8,27.0,3.0,right,1.497,2.881,50.0,0.0,1.0,0.0,Low,-0.967636592929261,,-40.0,0.40346310543749137
28,5c62c8c594e3bc0001d66cf8,28.0,6.0,left,1.196,,50.0,,0.0,1.0,Medium,,,-40.0,0.17898265552843995
